course_name,course_code,course_location,course_units,course_semester,course_url,Course description,Learning objectives,Outcomes,Content details,Prerequisites,Faculty,Course discipline,Course format,Course concentration,,,,,,
Energy Project Development and Economic Studies,18-861,Africa,6,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-861.html,"This course introduces concepts and tools for the development and analysis of energy-sector or energy-enabled infrastructure projects. Students will learn about the project development processes through case studies in the African context. They will also develop the ability to perform basic technical and economic feasibility assessments through directed projects.
View the course syllabus for more information.","The course's primary goal is for students to gain experience and skills in developing pre-feasibility and feasibility-level models of energy-sector or energy-enabled projects. Students identify and evaluate techno-economic success factors that define the spread of different use cases. Students should practice and improve their critical thinking skills in technical, social, and financial aspects that relate to these projects.","Students will finish the course with experience articulating and critiquing project proposals, in addition to defining their own self-directed final project.","Topics include:
financial modelingtechnical performance estimationsocial and environmental impact assessmentregulatory/policy analysis
Past projects have spanned these examples:
independent power plantsmini/micro gridsirrigation projectselectric mobility projects",None,Barry Rawn,ECE,In person expectation,"Energy (Kigali)
Intelligent Physical Systems (Pittsburgh)",,,,,,
Machine Learning for Earth Observation,04-800-AB,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-800-AB.html,"Satellite data needs special skills to process, visualize, and analyze. In this course, students will be introduced to different GIS data models. The course will introduce some of the advanced techniques for collecting, processing, and analyzing remote sensing data. It will also discuss some of the techniques in geospatial data fusion and introduce the concept of transfer learning in geospatial data analytics.Students will apply ML techniques and other geospatial data analytics tools in practical and relevant applications such as assessing land use and land cover, change detection, crop disease detection, etc.","In this class, students will learn:Different GIS data models and their advantages and disadvantagesTechniques for efficiently encoding, manipulating, and querying geospatial dataHow to design, use, and implement algorithms dealing with geospatial dataHow to use ML techniques to generate insight from satellite data in practical applications","At the end of this course, students will be able to apply ML techniques to generate insight from geospatial data in a wide range of applications.Content detailsThe coverage of this course includes:Introduction to GIS and satellite dataGeometric algorithms for spatiotemporal data processing and analysisScalable algorithms and representations for big geospatial dataGeospatial data fusionIntroduction transfer learningFeature Extraction TechniquesLand Use/Cover MappingChange DetectionFacultyMoise Busogi","The coverage of this course includes:
Introduction to GIS and satellite dataGeometric algorithms for spatiotemporal data processing and analysisScalable algorithms and representations for big geospatial dataGeospatial data fusionIntroduction transfer learningFeature Extraction TechniquesLand Use/Cover MappingChange Detection",,Moise Busogi,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Internet of Things (IoT),04-645,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-645.html,"Traditionally, only computer devices were connected to the Internet. The Internet of Things (IoT) seeks to connect every “Thing” to the Internet. Things may include sensors, vehicles, home appliances, structures, etc. In this course, students will learn how to interconnect different Things to the Internet using web technologies. Using such well-developed and well-supported technologies makes it easier to deploy the IoT network in a cheaper and more secure way. Students will also learn how to send information back to the Things for actuation purposes. Students will learn how to fuse raw sensor data in a meaningful way for large networks.
The course will also cover the connectivity technologies available for the IoT and how to choose the most appropriate technologies for different scenarios. The course takes a deeper look at low-power, long-range wireless protocols as well as appropriate protocols for constrained devices in the IoT ecosystem. In addition, students learn about PCB design and hardware prototyping. The course combines several labs and a final class project to enhance student learning.","The objectives of the course are to:
Understand the differences between the Internet of Things (IoT) and the Web of Things (WoT)Understand the architectural principles used to design the WoTDesign and implement WoT-based systems using RESTful principlesUnderstand the technologies, protocols, and standards that influence the IoT such as MQTT, CoAP, HTTP, etc.Develop web applications that interact with low-level IoT deploymentsLearn how to fuse and process large amounts of sensor data to reach accurate decisionsAppreciate privacy and security issues associated with IoTUnderstand the principles behind printed circuit board (PCB) and sensor node design","After completing the course, students will be able to:
Explain the differences and advantages of designing IoT systems using the WoT approachChoose the most appropriate sensors and associated connectivity technologies and IoT platforms for different scenariosBuild WoT systems based on RESTful principles to connect multiple low-level sensors to Internet-based applicationsDesign a PCB to create a sensor node for a given scenario","Overview of IoT systems from the edge to the cloudData fusion techniques and Kalman filteringPrinciples of the WoT approach to the IoTIoT connectivity technologiesWoT protocols for constrained devices (e.g., CoAP and MQTT)Developing Web APIs for ThingsImplementing the Web of ThingsDesign and development of PCBs for IoT deployment",None,Edwin Mugume,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Trustworthy AI,24-784,Pittsburgh,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/24-784.html,"Innovations driven by recent progress in artificial intelligence such as deep learning and reinforcement learning, have shown human-competitive performance. However, as research expands to real-world cyber-physical autonomy, the question of safety is becoming a crux for the transition from theories to practice. This course will first review fundamental knowledge for trustworthy AI autonomy, including adversarial attack/defend, generative models, hierarchical Bayesian models, safe reinforcement learning, rare-event/few-shot learning, and robust evaluation. Then from the research perspective, students will explore the novelty and potential extension of various state-of-the-art trustworthy AI research and their implementation through a series of readings. Students will develop the ability to conduct research in teams.
Knowledge and research skills learned in this course can be applied to self-driving, healthcare devices, assistant robots, and intelligent manufacturing. This course is devised for research-focused students who have backgrounds and interests in statistical machine learning, robotics and control, and human-machine interaction. Other interested students should contact the instructor to determine if it is a good fit for them.",Students will obtain an understanding of the basic methods to design trustworthy AI and apply them in their research projects.,,,"Basic machine learning knowledge
Learn more",Ding Zhao,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Power Electronics for Electric Utility Systems,18-685,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/18-685.html,"With the advent of power electronics, control and communication systems, and internet technologies, grid-connected and stand-alone electricity supply systems can be made smart and flexible by the application of power electronics. This is particularly relevant for the increasing penetration of embedded generation due to the proliferation of renewable energy systems based on solar, wind, mini and micro hydro, and wave in addition to diesel and gas generators. This course is designed to produce engineers equipped with the necessary knowledge and skills to design, commission, and operate such systems. Content includes High voltage switches: both thyristor and IGBT based; reactive power compensation: thyristor controlled reactor (TCR), Thyristor Switched Capacitor (TSC), Static Var Compensator (SVC), STATCOM, Series and Shunt Compensation; High Voltage DC Transmission (HVDC): HVDC Converters both thyristor based and voltage source converter based, multiterminal HVDC, DC Grids; Grid Integration of renewable energy sources: wind onshore and offshore, solar, energy storage, application to weak systems, black start; Stand-alone grid systems: PV and Hydro based, energy storage, rural electrification and city applications, business models.","The ECE department is accredited by ABET to ensure the quality of your education. ABET defines 7 Educational Objectives that are fulfilled by the sum total of all the courses you take. The following list describes which objectives are fulfilled by this course and in what manner they are fulfilled. The objectives are numbered from “1” through “7” in the standard ABET parlance. Those objectives not fulfilled by this course are crossed out from the following list:
an ability to identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematicsan ability to apply engineering design to produce solutions that meet specified needs with consideration of public health, safety, and welfare, as well as global, cultural, social, environmental, and economic factorsan ability to communicate effectively with a range of audiences an ability to recognize ethical and professional responsibilities in engineering situations and make informed judgments, which must consider the impact of engineering solutions in global, economic, environmental, and societal contextsan ability to function effectively on a team whose members together provide leadership, create a collaborative and inclusive environment, establish goals, plan tasks, and meet objectivesan ability to develop and conduct appropriate experimentation, analyze and interpret data, and use engineering judgment to draw conclusionsan ability to acquire and apply new knowledge as needed, using appropriate learning strategies
OutcomesBy the end of this course, you will be able to:Explain how static and dynamic characteristics of power semiconductor devices influence the design of power converters for electricity supply systemsAppreciate the electrical and thermal design of “High Voltage Valves”Analyze the operation of High voltage converters such as HVDC, STATCOM, MMC, and SVCInvestigate the mitigation of Power flow and voltage stability problems by compensation using Power Electronic ConvertersInvestigate a grid system including power electronic converters by simulation and Communicate the findings in written form and orally with multimediaContent details
Operation of power semiconductor devices in the high voltage environmentHigh voltage valvesPower converters for utility applicationsMultilevel convertersTransmission and load compensation by power electronic circuits; TCR, TSC, SVC, STATCOMHVDC and MVDCEnergy storageHarmonics and filter","By the end of this course, you will be able to:
Explain how static and dynamic characteristics of power semiconductor devices influence the design of power converters for electricity supply systemsAppreciate the electrical and thermal design of “High Voltage Valves”Analyze the operation of High voltage converters such as HVDC, STATCOM, MMC, and SVCInvestigate the mitigation of Power flow and voltage stability problems by compensation using Power Electronic ConvertersInvestigate a grid system including power electronic converters by simulation and Communicate the findings in written form and orally with multimedia",[],"There are no prerequisites for this course, but it is assumed that the student has an understanding of electrical & electronic principles, power systems, and power electronics at the bachelor level or equivalent experience and knowledge. Completion of a previous course in power electronics is recommended.",Sarath Tennakoon,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
 Fundamentals of Telecommunications and Computer Networks,04-641,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-641.html,"In this class, students will learn how modern telecommunications and computer networks function as well as key communication protocols and protocol stacks. Moreover, the course will discuss computer network design and deployment through lectures and lab work. Students will complete weekly labs that require them to implement a specific network configuration. The course grade will be based on weekly lab write-ups, paper reviews, a midterm, and a final exam.","The goal of this course is to provide learners with the fundamentals of computer networking and other telecommunication systems. After completing this course, students should understand how modern telecommunications and computer networks function and understand relevant protocols and the protocol stack. They should also be able to perform network subnetting and explain how routing and switching are accomplished.","After completing this course, students will be able to:
Describe various types of network architectures and protocolsDescribe and analyze QoS and traffic engineering mechanisms and protocolsEvaluate the performance of standard networksHandle address space exhaustion of IPV4 (Subnetting concepts)How to effectively and fairly allocate resources among a collection of competing usersBe familiar with the most popular network applicationsDescribe different security issues in computer networks","History of the InternetDesign principlesISPs, backbones, and peeringApplication protocols (HTTP, FTP, SMTP, POP3, IMAP, DNS, DHCP)DNS and CDNs (content distribution networks)Peer-to-peer networksTransport layer (UDP, TCP)Congestion controlNetwork layer (IP addressing, subnetting, ICMP, OSPF, RIP, IPv4, IPv6)Routing (Internet, algorithms, instability)Network measurementLink layer (Ethernet, devices, virtual link layer, ARP, MAC)Wireless and mobile networks, and next-generation networksSecurity in computer networks",None,Edwin Mugume,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Secure Coding,14-735,Pittsburgh,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/14-735.html,"This course will enable students to understand how software coding defects lead to software vulnerabilities, develop secure software, and manage teams that develop secure software. This course provides a detailed explanation of common programming errors in C and C++ and describes how these errors can lead to code that is vulnerable to exploitation. The course covers secure software development tools and processes while focusing on low-level technical security issues intrinsic to the C and C++ programming languages and associated libraries. The course relies on ""learning-by-doing"", where students practice hands-on sophisticated secure coding concepts through continuous debugging and creative approaches. Many aspects of the assignments mimic the challenges developers face in a real-world software system. Some assignments will introduce students to a programming language that they might have never seen before such as JavaScript and Rust.

For more information about the course, please see https://www.cylab.cmu.edu/education/course-list/secure-coding.html
",,,,,Hanan Hibshi,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Network Security,18-731,Africa,12,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/18-731.html,"Some of today's most damaging attacks on computer systems involve the exploitation of network infrastructure, either as the target of attack or as a vehicle to advance attacks on end systems. This course provides an in-depth study of network attack techniques and methods to defend against them.

The course will cover topics spanning six broad themes:
Infrastructure topics such as firewalls, network intrusion detection, secure routing protocols, and recent advances such as software-defined networkingNetwork attacks such as denial of service (DoS) and distributed denial-of-service (DDoS) attacks, worm, and virus propagationAnalysis and inference topics such as network forensics and attack economicsUser-related topics such as authentication, anonymity, and censorship resilienceNew technologies related to next-generation networksCellular and wireless networks","The goal of this course is to provide learners with an advanced understanding of network security from both theoretical and practical perspectives. By the end of this course, students will be able to:
Explain common network attacks and identify the possible defense mechanisms for each attackExplain the concept of network intrusion systems (NIDS) and network intrusion prevention systems (NIPS)Explain concepts related to Firewalls and VPN, and common network protection mechanismsConfigure both stateless and stateful ACL as well as DMZ firewalls on Cisco routersExplain the concept of applied cryptography including, symmetric cryptography and asymmetric cryptography, and cryptographic data integrity algorithmsOutline the requirements and mechanisms for securing different layers of the network system. Identify the possible threats at each network layer and implement appropriate protection mechanismsConfigure IPsec, SSL, and TLS on Cisco routers for real-time communication securityExplain the requirements of network security management including testing, the policy as well as roles and responsibilities","Technical and intellectual skills in:
Address issues associated with the security of the networkAssess different network threats and vulnerabilities and describe suitable countermeasuresPerform basic network and network application penetration testingAssessing protocol designs and implementations for threats and vulnerabilities","Introduction to network security:What is network security, traditional information security vs. modern-day information security, components of network security, additional concepts in network securityOverview of networking and security basics:Layering, packet vs. circuit switching, layer 2 basics, basics of routing protocols, approaches to security, cryptography basicsLayer 2 security:Types of VLANs, the role of VLANs in a network, trunking, configuring VLANS on switches, Spanning Tree Protocol (STP), Spanning Tree Algorithm, BPDU in STP, STP 5-step decision sequence, BPDU attacks, spanning tree manipulation attacks, CAM table overflow attacksDHCP security: Introduction to DHCP, characteristics of DHCP, DHCP software elements, DHCP states and procedures, unauthorized port access and mitigation, DHCP spoofing attack, DHCP starvation attack, ARP spoofing attack, IP spoofing attack, VLAN hopping, SYN flood attacks, broadcast storm attacks, mitigations for the attacks coveredRouting security:Autonomous systems and how BGP routing works, BGP route selection algorithmBGP attacks:Prefix theft, AS Path truncation, AS Path alteration, BGP session attacks, instability attacks, TCP-based attacksBGP attack mitigations:BGP authentication route filtering, BGP security requirements, secure BGP design overview, route attestations, residual vulnerabilities is S-BGP, current trends – BGP Sec, mutually agreed norms for routing security, examples of routing incidentsIP security:Requirements of security protocols, why IP security is needed, applications of IP security, benefits of IPSec, IPSec protocols – AH and ESP, IPSec tunnel mode vs. transport mode, how IPSec works – phase 1 and 2, the configuration of IPSec in Packet TracerSSL/TLS:How SSL-TLS works, symmetric and asymmetric cryptography, SSL attacks – bit flipping attacks and mitigations, secret key exchange (Diffie-Hellmann Key exchange), key derivation function, public key sharing, digital, certificates, and signaturesSoftware Defined Networking (SDN):Problems addressed by SDN, SDN components – data plane, control plane, OpenFlow Operation, SDN security – threat vectorsActive sensors:Firewalls, intrusion detection systems, Bro IDS, Snort IDS, algorithmic complexity attacks, NIDS: evasion and normalization, Small TTL attacks, fragmentation overlap attacks, Snort configurationDoS and DDoS:Examples of DoS attacks – SYN flood and solutions, Shrew attack, Fallacies with DDoS attacks, why DDoS is hard to tackle, the evolution of DDoS attacks, examples of DDoS attacks – Smurf attacks, Amplification attacks, Mitigations for DDoS attacks – Filtering, Pushback, TracebackDNS and DNSSEC:DNS vulnerabilities, DNS attacks: DNS cache poisoning, DNS IP SpoofingDNS attack mitigation:Defenses – Split-Split DNS, DNS Security Extensions, Secure DNS query and response, Chain of Trust, Signing a DNS ZoneAnonymous communications:Mixes and proxies, Chaum Mix, Mixnets, Anonymizing proxy, Onion routing, Tor Network, how to identify and block content, censoring techniques, IP-based blocking, blocking DNS names, flow terminating proxiesCensorship countermeasures:VPNGate system, Tor network, Telex, Steganography, limitations of countermeasuresMalware analysis and detection: creating viruses and trojans, malware infection methods, Rootkits, how malware propagates, detection methods for antivirus, ChecksumSandbox analysis:Worms – Types, history, propagation, worm detection and defense, malware challengesWireless Network Security:The need for cryptography over the air, WEP encryption, defeating WEP authentication, WPA, WPA 2, WEP vs WPA vs WPA2, GSM network structure, GSM security model, attacks on GSMMisc:Side channel attacksNetwork forensicNext-gen networksEconomic impact of cyber attacksRevision",Experience with C programmingBasic Linux commands and operationsKnowledge of TCP/IP networking,Jema David Ndibwile,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Natural Language Processing,11-611,Pittsburgh,12,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/11-611.html,"This course is about a variety of ways to represent human languages (like English and Chinese) as computational systems and how to exploit those representations to write programs that do neat stuff with text and speech data, like:
translationsummarizationextracting informationquestion answeringnatural interfaces to databasesconversational agents
This field is called Natural Language Processing or Computational Linguistics, and it is extremely multidisciplinary. This course will therefore include some ideas central to Machine Learning and to Linguistics.
We'll cover computational treatments of words, sounds, sentences, meanings, and conversations. We'll see how probabilities and real-world text data can help. We'll see how different levels interact in state-of-the-art approaches to applications like translation and information extraction.
From a software engineering perspective, there will be an emphasis on rapid prototyping, a useful skill in many other areas of Computer Science.",,,,CS courses on data structures and algorithms and strong programming skills,David R. MortensenandGolan Levin,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Machine Learning with Graphs,11-741,Pittsburgh,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/11-741.html,"Graphs offer a natural way to represent complex relationships among objects of all kinds. Neural network learning with graphs has become important in both academic research and industrial applications. This course (for graduate and undergraduate students who meet the prerequisites) offers a mixture of fundamental concepts, algorithms, basic and advanced models, and broad applications, ranging from social popularity analysis and knowledge graph reasoning to deep learning for solving NP-complete problems.
For more information about the course, seehttps://www.coursicle.com/cmu/courses/LTI/11741/",,,,,Yiming Yang,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Academic Skills for Engineers I,04-606,Africa,6,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-606.html,"This course aims to introduce students to a range of academic skills to support them in their MSc programs. The skills will include identifying credible sources, describing graphs, processes and changes as well as longer pieces of academic writing such as critical reviews and essays.
This course is offered on a pass/no pass basis.",The primary aim of this course is to increase students’ ability to communicate effectively in an English language academic context by developing their research and writing skills. Its secondary aims are to enhance higher order thinking aptitudes and independent learning.,"By the end of the course, students will be better able to identify, analyze and construct arguments in academic style, supported by clear reasoning and evidence.","Writing in an academic styleDescribing graphs, processes and changesReviewing and critiquing published articlesSeminar skillsConstructing a logical and persuasive argumentEssay writing",None,Glen Thompson,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Planning for Digital Transformation,04-801-S3,Africa,6,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-801-S3.html,"A basic mechanism by which ICT impacts the real world is through the transformation of enterprises and organizations towards conducting their business or offering their services more efficiently by adopting various digital technologies and strategies. This course is structured as a reading seminar where students study and discuss essential components of this “digital transformation” as both a technological activity and in terms of institutional culture, business, and industrial management. Students will be graded on the quality of their weekly assignments and their participation in classroom discussions.","The main objectives of this course are to:
Understand the definition and management of transformation.Develop a focus on business processes and customer needs.Gain familiarity with the methods and techniques used to develop and refine digital and non-digital products.Appreciate underlying concerns such as data governance, regulatory compliance, and ethics.","Upon successful completion of this course, students should be able to:
Evaluate the potential impact of advances in ICT on organizations.Identify critical factors behind technology’s effectiveness on users.Develop rational and objective categorizations of innovation including via exploitation of efficiencies, competition, and disruption.",Defining Digital Transformation (DT)DT and productsDT within companiesDT in industriesDT in government and societyDT in a focus area to be selected,"None. Open to all CMU-Africa students with a math and programming background in IT, engineering, or AI.",Ahmed Biyabani,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
MSIT Practicum,04-900,Africa,24,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-900.html,"The MSIT practicum provides an opportunity for students to apply the knowledge and skills learned in their classes to solve a real-world problem in information and communication technology offered by an industry client. In collaboration with a faculty mentor, each team of students works with an industry client to understand the problem to be addressed and develop a strategy to create a solution in one semester. A plan and schedule are developed, tasks are assigned, and progress is monitored through regular meetings. The solution is presented to the industry client who joins the faculty supervisor in evaluating and grading the practicum project.","To learn professional ethicsWorking as a team memberEngaging with a clientIdentifying a problem, understanding the client's needs, developing, and assessing alternative solutionsDeveloping a work plan with the client to implement, deploy, and assess a quality solution on timeReflecting on and developing your professional skillsDelivering clear, well-structured client presentationsDeveloping and refining communication and presentation skills","After completing this course, students should be able to:
Acquire and assess requirements with a clientMake effective trade-offs in a project to realize a product that satisfies the client’s objectivesDefine roles and tasks within a team and carry out a team project effectivelyMake a project schedule and adapt throughout the project to deal with unforeseen contingenciesApply research and observations on teamwork and professional skills to improve your own skillsApply effective written communication skills to produce high-quality reportsDemonstrate effective presentation skills for diverse audiences",,2nd-year MSIT standing,Edwin MugumeandKwan Lee,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
AIOps: Continuous and Automated IT and AI Monitoring,04-800-K,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-800-K.html,"This course builds on and integrates S/W engineering, AI/ML, and IT skills in support of automated methods for assuring the highest level of system availability and resilience.  Students will apply tools including Docker, Kubernetes, and AI-based models for anomaly detection to monitor and correct hybrid cloud applications as they experience simulated disruptions and outages.  Lab exercises will deploy such monitoring tools in continuous integration/delivery pipelines for proactive control as opposed to traditional reactive and manual incident response.
The course will focus on automated monitoring of both IT components (e.g. code-based implementations of a distributed application) and AI/ML components (e.g., models and their associated pre- and post-deployment pipelines).
The course will review basic concepts of DevOps including Docker, CI/CD pipelines, and the microservices architectures used in hybrid cloud deployments. This background provides preparation for deep dives into real-time operational data gathering and the automated tools available for anomaly detection, reporting, and even self-correction.
For IT monitoring, multiple types of performance data will be used in automated monitoring including structured metrics such as CPU, memory, and network utilization as well as emerging methods for analyzing unstructured content such as textual information in application logs.
For AI monitoring, extensions of DevIOps methods for AI will introduce ModelOps and its application to multiple types of quality metrics for automated model monitoring.  Model accuracy, precision, recall, and bias will be evaluated for initial deployment and tracked for post-deployment drift over time leading to predicted violation of quality standards.
Hands-on lab work will include tools for configuring and executing pipelines for continuous integration and delivery, deploying applications as microservices with embedded monitoring instrumentation, dashboards for collecting performance data, and multiple methods for real-time tracking of such data with automated anomaly detection and repair.
The course consists of weekly hands-on assignments as well as a final project to integrate the project methods covered in the class.","In this course, we will:
Discuss the new role of Site Reliability Engineer (SRE) and the motivation for its introduction.Have students understand and use CI/CD tools to configure and run pipelines for a sample project.Deploy applications into a microservices orchestration platform based on the de-facto standard Kubernetes runtime.Understand the methods available for collecting real-time performance data for services and models.Acquire techniques for identifying deviations in performance of both IT and AI/ML-based components.","By the end of this course, you will be better able to:
Understand the need for automated methods in maintaining a high level of service availabilityConfigure and deploy CI/CD pipelinesDeploy and manage containerized components and models in a microservices runtimeInstrument components and models for real-time data collection for analysis and visualizationApply AI methods for IT component anomaly detectionApply AI methods for AI model drift detection","The class is taught through weekly lectures and assignments according to this general schedule:
Month 1: Background and practice with CI/CD, Docker, and KubernetesMonth 2: Automated methods for IT data collection and anomaly detectionMonth 3: Extensions of DevOps for ModelOps: model metric data collection and automated drift analysis
Grading is based on written assignments, a final portfolio of work, participation, and attendance",Strong background in Python programming and exposure to DevOps and Cloud platforms such as Docker and microservices.,Charles Wiecha,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
ICT in Africa Seminar,04-601,Africa,6,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-601.html,"In this course, students learn about Information and Communications Technology (ICT) and its application in Africa. The goal is to provide an overview of core ICT topics such as data, connectivity, artificial intelligence, and cybersecurity and their application to solving problems on the continent in areas ranging from health care to agriculture. In the first part of the course, students read assigned papers (e.g., academic papers, government reports, consultant reports, blog posts, etc.) to deepen their understanding of core ICT topics in an African context.  Each week, students write individual summaries based on the readings, give a team-based oral presentation, and lead an in-class discussion based on their assigned reading. The second part of the course is a student-directed, team-based project in which students select an African challenge and research potential ICT solutions. In addition to deepening their ICT knowledge, students will strengthen their skills at reading and summarizing technical papers, their oral and written communication abilities, and their dexterity in working in teams.","Students will gain a greater understanding of:
Core ICT topics, themes, and applicationsThe ICT context within Africa, including emerging trends and potential applicationsBest practices to review and comprehend technical literature, particularly journal papersOral presentation skills and writing clarityEffective team-based strategies","After completing the course, students will be able to:
Understand core ICT topics, including data, connectivity, artificial intelligence, cybersecurity, the Internet of Things, and human-computer interaction from both a global and an African perspective.Think critically about how to apply ICT solutions to African-based issues in sectors such as agriculture, finance, health care, and energy.Effectively read and synthesize technical papers, including journal articles, government reports, and industry documents.Deliver clear and insightful oral and written summaries on technical topics.",,None,Edith Luhanga,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Introduction to Deep Learning,11-785,Pittsburgh,12,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/11-785.html,"“Deep Learning” systems, typified by deep neural networks, are increasingly taking over all AI tasks, ranging from language understanding, and speech and image recognition, to machine translation, planning, and even game playing and autonomous driving. As a result, expertise in deep learning is fast changing from an esoteric desirable to a mandatory prerequisite in many advanced academic settings, and a large advantage in the industrial job market.In this course, we will learn about the basics of deep neural networks and their applications to various AI tasks. By the end of the course, it is expected that students will have significant familiarity with the subject, and be able to apply Deep Learning to a variety of tasks. They will also be positioned to understand much of the current literature on the topic and extend their knowledge through further study.
If you are only interested in the lectures, you can watch them on theYouTube channel.
See theoriginal course descriptionfor the most recent information.",,,,"We will be using Numpy and PyTorch in this class, so you will need to be able to program in python3.You will need familiarity with basic calculus (differentiation, chain rule), linear algebra, and basic probability.",Bhiksha RamakrishnanandRita Singh,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
 ICT Professional Development Seminar,04-605,Africa,6,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-605.html,"The seminar prepares second-year students for professional life beyond CMU. Objectives may include finding a job, securing a promotion or transfer in an existing company, preparing to become managers and leaders, entrepreneurship, or applying to a Ph.D. program. Students explore career opportunities in ICT through individual and group projects, presentations, and discussions. Students draw on internships, work experiences, team projects, selected readings, and guest lectures to examine the role of global professional, managerial, leadership, and technical skills critical to success and to develop strategies for lifelong learning and professional development.",Understanding of the key qualities and skills of good managersAwareness of leadership theory and researchInsight into diverse career opportunities in ICTUnderstanding of personal value as a tech professionalPersonal and organizational goal-setting skillsDevelopment of a personal career planOnline and face-to-face networking skillsAwareness of the impact of culture on professional norms and expectations,"After completing this course, students should be able to:
Articulate their personal value as a tech professional.Analyze their career options and set effective career goals.Identify and leverage career development opportunities.Explain the key qualities and skills of good managers.Analyze and evaluate diverse leadership styles in context.Reflect on their role as followers in influencing the evolution of African professional culture.Communicate and collaborate more effectively across professional cultures.","Career path planning and goal-settingProfessional self-presentation and networkingICT career optionsEffective leadership, followership, and managementCultural competence in the workplace",None,Christine Niyizamwiyitira,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Technical Writing and Communication Skills,04-801-U3,Africa,6,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-801-U3.html,"This course aims to improve students’ ability to produce clear and accurate technical texts such as lab reports, scientific papers, process flows, knowledge-based articles, as well as giving technical presentations.Note that this course is intended to only be offered & taken PASS/NO PASS.","Students will gain an introduction to technical writing and be able to plan and create technical communication.They will become aware of genre requirements such as: arrangement, emphasis, clarity, conciseness, tone and ethos.They will become aware of the process of technical writing, i.e.: audience profiling; user task analysis; information architecture; content development; technical and editorial reviews; formatting and publishing (publish the document).They will be able to produce good quality technical reports that meet the requirements of their brief.They will also be able to deliver more impactful presentations.","Students will be able to produce a range of technical documents to a high professional standard, showing an awareness of audience, purpose and context.They will be able to apply these concepts to both written and oral communication.",Critical thinkingAcademic writing skillsPresentation skillsSeminar discussion skills,For CMU Africa students only. Not suitable for students studying 04-606 in the same semester.,Glen Thompson,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Hardware Arithmetic for Machine Learning,18-640,Pittsburgh,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-640.html,"In this course, students explore the techniques for designing high-performance digital circuits for computation along with methods for evaluating their characteristics. We begin by reviewing number systems and digital arithmetic along with basic arithmetic circuits such as ripple-carry adders. From there, we move to more complex adders (carry-look-ahead, carry-skip, carry-bypass, etc.), multipliers, dividers, and floating-point units. For each circuit introduced, we will develop techniques and present theory for evaluating their functionality and speed. Other methods will be described for analyzing a circuit's power consumption, testability, silicon area requirements, correctness, and cost. In addition, we will utilize various CAD tools to evaluate the circuits described. Finally, advanced timing and clocking concepts will be investigated. For example, the notion of clock skew will be introduced and its impact on clock period for sequential circuits will be analyzed. We will also learn how to analyze and design asynchronous circuits, a class of sequential circuits that do not utilize a clock signal. Course projects focus on key arithmetic aspects of various machine learning algorithms including: K-nearest neighbors, neural networks, decision trees, and support vector machines.
For more information about the course, seehttps://courses.ece.cmu.edu/18640",,,,,Shawn Blanton,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
